"","start_dates","battle_deaths","PolityIV_side1","PolityIV_side2","BMR_side1","BMR_side2"
"1",1823.26944444444,1000,-4,-4,0,0
"2",1828.32222222222,130000,-10,-10,0,0
"3",1846.31944444444,19283,10,-3,1,0
"4",1848.23333333333,7527,-10,-10,0,0
"5",1848.27777777778,6000,-9,-9,0,0
"6",1849.33333333333,2600,-3.33333333333333,-8,0.333333333333333,0
"7",1851.55277777778,1300,-6,-5,0,0
"8",1853.81388888889,264200,-5.5,-8,0,0
"9",1856.81944444444,2000,3,-10,0,0
"10",1859.33055555556,22500,-7.5,-6,0,0
"11",1859.81111111111,10000,-5,-6,0,0
"12",1860.69722222222,1000,-7,-9,0,0
"13",1860.79166666667,1000,-7,-10,0,0
"14",1862.29444444444,20000,-3,-8,0,0
"15",1863.89444444444,1000,-5,-1,0,0
"16",1864.08611111111,4481,-5.5,-3,0,0
"17",1864.86666666667,310000,-4.5,-9,0,0
"18",1865.73611111111,1000,-0.5,-6,0,0
"19",1866.45833333333,44100,-6,-6.25,0,0
"20",1870.55277777778,204313,-6.5,-3,0,0
"21",1876.24166666667,4000,-1,-1,0,0
"22",1877.31666666667,285000,-10,-4,0,0
"23",1879.12222222222,13868,3,-4,0,0
"24",1882.53055555556,10079,7,NA,0,NA
"25",1884.45833333333,12100,7,-6,0,0
"26",1885.24444444444,1000,-1,2,0,0
"27",1894.56944444444,15000,1,-6,0,0
"28",1897.125,2000,-10,10,0,1
"29",1898.31111111111,3685,10,4,1,0
"30",1900.46388888889,3003,3.2,-6,0.4,0
"31",1900.54722222222,4000,-10,-6,0,0
"32",1904.10555555556,151831,1,-10,0,0
"33",1906.40833333333,1000,-9,-3,0,0
"34",1907.13611111111,1000,-5,-3,0,0
"35",1909.51944444444,10000,6,-6,0,0
"36",1911.74722222222,20000,-1,-1,0,0
"37",1912.79722222222,82000,1.66666666666667,-1,0.333333333333333,0
"38",1913.5,60500,2.25,-9,0.25,0
"39",1914.58055555556,8578031,2.4,-3,0.3,0
"40",1918.89444444444,11750,8,-1,1,0
"41",1918.92222222222,13246,-1.66666666666667,-4.5,0,0
"42",1919.12222222222,1e+05,-1,-1,0,0
"43",1919.29444444444,11000,1.5,-8,0,0
"44",1919.34722222222,50000,-6,-6,0,0
"45",1919.83611111111,40000,8,-6,1,0
"46",1920.54166666667,1000,8,4,1,0
"47",1929.63055555556,3200,-8,-5,0,0
"48",1931.96944444444,60000,1,-5,0,0
"49",1932.45833333333,92661,-3,2,0,0
"50",1934.22222222222,2100,-10,-10,0,0
"51",1935.75833333333,20000,-9,-5,0,0
"52",1937.51944444444,1e+06,1,-5,0,0
"53",1938.58055555556,1726,1,-9,0,0
"54",1939.36388888889,28000,-9,1,0,0
"55",1939.66944444444,16634907,-0.142857142857143,-2.75,0.380952380952381,0.125
"56",1939.91666666667,151798,-9,4,0,0
"57",1940.91944444444,1400,-3,10,0,1
"58",1947.82222222222,3500,NA,NA,NA,0
"59",1948.375,8000,NA,-1.2,NA,0
"60",1950.48333333333,910084,4.5,-7.5,0.5,0
"61",1954.675,2370,-8,-8,0,0
"62",1956.83055555556,3221,10,-7,1,0
"63",1956.84444444444,2426,-7,-7,0,0
"64",1957.89166666667,1122,1.5,-5,0.5,0
"65",1958.64722222222,1800,-8,-8,0,0
"66",1962.80555555556,1853,-8,9,0,1
"67",1965.10277777778,1021442,-8,1.28571428571429,0,0.285714285714286
"68",1965.59722222222,7061,NA,9,0,1
"69",1967.43055555556,19600,10,-7.66666666666667,1,0
"70",1968.03611111111,13866,-8,1,0,0.333333333333333
"71",1969.18333333333,5368,9,-7,1,0
"72",1969.53888888889,1900,0,-1,0,0
"73",1970.23055555556,6525,-7,-2.33333333333333,0,0.333333333333333
"74",1971.925,11223,9,NA,1,0
"75",1973.76666666667,14439,9,-8.4,1,0
"76",1974.55555555556,1500,9,7,1,0
"77",1975.81388888889,2700,-7.5,-2.5,0,0
"78",1977.56388888889,10500,-7,-7,0,0
"79",1977.73333333333,8000,-7,-7,0,0
"80",1978.82777777778,3000,-6,-7,0,0
"81",1979.13055555556,21000,-7,-7,0,0
"82",1980.72777777778,1250000,-8,-9,0,0
"83",1982.23611111111,1001,10,-8,1,0
"84",1982.30833333333,1655,6,-9,0,0
"85",1986.875,8000,-7,-7,0,0
"86",1987.01388888889,4000,-7,-7,0,0
"87",1990.58888888889,41466,-1.69230769230769,-9,0.384615384615385,0
"88",1992.26944444444,5240,-3,-5,0,0
"89",1993.1,14000,7,1,0,0
"90",1995.025,1500,1,9,0,1
"91",1998.35,120000,-6,1,0,0
"92",1999.23333333333,5002,9.42857142857143,-6,0.714285714285714,0
"93",1999.35555555556,1172,9,7,1,0
"94",2001.76944444444,4002,9.8,-7,1,0
"95",2003.21944444444,7173,10,-9,1,0
